Fraction,Profit,Realm,Week Num
alliance,7367260.312937404,zuljin,38.0
alliance,6844311.409598127,zuljin,39.0
alliance,4950679.562131672,zuljin,40.0
alliance,6135240.342377396,zuljin,41.0
alliance,15942553.851675032,bleeding-hollow,11.0
alliance,6898612.0258083455,bleeding-hollow,12.0
alliance,11991928.642378785,bleeding-hollow,13.0
alliance,8102632.261519989,bleeding-hollow,14.0
alliance,9312816.993571922,bleeding-hollow,15.0
alliance,7195078.407507175,bleeding-hollow,16.0
alliance,11126398.640122427,bleeding-hollow,17.0
alliance,8835328.357263848,bleeding-hollow,18.0
alliance,8006102.743716686,bleeding-hollow,19.0
alliance,6928861.064880021,bleeding-hollow,20.0
alliance,7232048.434576692,bleeding-hollow,21.0
alliance,7271825.503416684,bleeding-hollow,22.0
alliance,7152232.726739788,bleeding-hollow,23.0
alliance,7583811.420225027,bleeding-hollow,24.0
alliance,6378632.256616439,bleeding-hollow,25.0
alliance,6173686.003517665,bleeding-hollow,26.0
alliance,6915077.537314308,bleeding-hollow,27.0
alliance,6542028.919701439,bleeding-hollow,28.0
alliance,6503264.410754299,bleeding-hollow,29.0
alliance,7833377.174576691,bleeding-hollow,30.0
alliance,8754957.89972073,bleeding-hollow,31.0
alliance,10088926.09532001,bleeding-hollow,32.0
alliance,9616491.409507152,bleeding-hollow,33.0
alliance,9417348.914547144,bleeding-hollow,34.0
alliance,10082423.62366266,bleeding-hollow,35.0
alliance,9051370.376493813,bleeding-hollow,36.0
alliance,9610325.828471694,bleeding-hollow,37.0
alliance,8344415.449199996,bleeding-hollow,38.0
alliance,8708102.704047646,bleeding-hollow,39.0
alliance,8033580.467123381,bleeding-hollow,40.0
alliance,8626160.222683126,bleeding-hollow,41.0
alliance,6752188.405100003,kiljaeden,11.0
alliance,11916519.028832609,kiljaeden,12.0
alliance,11174520.44565573,kiljaeden,13.0
alliance,14228546.70808836,kiljaeden,14.0
alliance,13109707.637276182,kiljaeden,15.0
alliance,17430378.180464085,kiljaeden,16.0
alliance,12596543.20576072,kiljaeden,17.0
alliance,8392487.161176464,kiljaeden,18.0
alliance,6748355.001700016,kiljaeden,19.0
alliance,7872343.022743346,kiljaeden,20.0
alliance,10881449.80014834,kiljaeden,21.0
alliance,11748641.367958348,kiljaeden,22.0
alliance,7138027.505796931,kiljaeden,23.0
alliance,11017917.287544325,kiljaeden,24.0
alliance,11808348.687271936,kiljaeden,25.0
alliance,11430305.0808624,kiljaeden,26.0
alliance,12287763.964335004,kiljaeden,27.0
alliance,12376123.89462405,kiljaeden,28.0
alliance,13172059.044612415,kiljaeden,29.0
alliance,8260620.87111074,kiljaeden,30.0
alliance,11653659.305629991,kiljaeden,31.0
alliance,12436891.645537887,kiljaeden,32.0
alliance,8088977.93659288,kiljaeden,33.0
alliance,11911885.777589746,kiljaeden,34.0
alliance,12299961.714060266,kiljaeden,35.0
alliance,7800750.100970487,kiljaeden,36.0
alliance,7228405.770133345,kiljaeden,37.0
alliance,16381275.985345313,kiljaeden,38.0
alliance,13942496.62732548,kiljaeden,39.0
alliance,8611206.921013122,kiljaeden,40.0
alliance,9499251.599082157,kiljaeden,41.0
alliance,21164426.10504998,proudmoore,11.0
alliance,25310086.367414616,proudmoore,12.0
alliance,23848963.15884696,proudmoore,13.0
alliance,24842917.8558833,proudmoore,14.0
alliance,24900814.54741095,proudmoore,15.0
alliance,23299151.167479564,proudmoore,16.0
alliance,21214046.118221857,proudmoore,17.0
alliance,20902879.24383448,proudmoore,18.0
alliance,890010408.1593658,proudmoore,19.0
alliance,24655547.74503171,proudmoore,20.0
